"","species","speciesDBR","genusDBR","familyDBR","orderDBR","classDBR"
"1","Belminus ferroae",4,4,4,4,2
"2","Cavernicola pilosa",1,1,1,1,1
"3","Psammolestes arthuri",23,22,17,9,3
"4","Psammolestes coreodes",1,1,1,1,1
"5","Psammolestes tertius",7,6,6,7,3
"6","Rhodnius ecuadoriensis",14,12,10,7,2
"7","Rhodnius montenegrensis",13,12,10,8,3
"8","Rhodnius nasutus",5,5,5,5,2
"9","Rhodnius neglectus",10,9,9,9,2
"10","Rhodnius pallescens",56,50,45,20,4
"11","Rhodnius pictipes",12,11,10,8,2
"12","Rhodnius prolixus",61,49,34,17,4
"13","Rhodnius robustus",2,2,1,1,1
"14","Rhodnius sp",17,15,13,9,3
"15","Belminus herreri",6,6,6,5,3
"16","Eratyrus cuspidatus",2,2,2,2,2
"17","Meccus pallidipennis",17,17,13,9,2
"18","Mepraia parapatrica",6,6,6,4,3
"19","Mepraia spinolai",25,21,16,10,3
"20","Panstrongylus chinai",5,5,5,5,2
"21","Panstrongylus geniculatus",35,31,27,13,2
"22","Panstrongylus howardi",5,5,5,5,3
"23","Panstrongylus lignarius",5,5,5,4,2
"24","Panstrongylus lutzi",11,11,12,10,3
"25","Panstrongylus megistus",17,14,13,12,3
"26","Panstrongylus rufotuberculatus",3,3,3,2,1
"27","Panstrongylus tupynambai",5,5,5,4,2
"28","Paratriatoma hirsuta",1,1,1,1,1
"29","Triatoma barberi",14,14,14,13,3
"30","Triatoma brasiliensis",48,39,27,15,5
"31","Triatoma carrioni",1,1,1,1,1
"32","Triatoma costalimai",4,4,6,7,3
"33","Triatoma dimidiata",48,37,34,21,6
"34","Triatoma dispar",1,1,1,1,1
"35","Triatoma eratyrusiformis",4,4,4,3,1
"36","Triatoma gerstaeckeri",24,24,19,11,4
"37","Triatoma gusayana",5,5,5,5,2
"38","Triatoma indictiva",3,3,3,2,1
"39","Triatoma infestans",31,26,22,15,4
"40","Triatoma juazeirensis",4,4,4,3,2
"41","Triatoma lecticularia",6,6,5,5,2
"42","Triatoma lenti",1,1,1,1,1
"43","Triatoma longipennis",21,19,14,9,3
"44","Triatoma maculata",19,18,16,13,4
"45","Triatoma melanica",1,1,1,1,1
"46","Triatoma melanocephala",2,2,2,2,2
"47","Triatoma petrocchiae",8,7,7,5,3
"48","Triatoma phyllosoma",9,9,8,6,2
"49","Triatoma platensis",1,1,1,1,1
"50","Triatoma protracta",7,6,6,6,2
"51","Triatoma pseudomaculata",12,11,12,9,4
"52","Triatoma recurva",3,3,3,3,1
"53","Triatoma rubida",14,13,10,7,2
"54","Triatoma rubrofasciata",10,10,10,7,2
"55","Triatoma rubrovaria",19,16,15,10,4
"56","Triatoma sanguisuga",27,22,19,12,5
"57","Triatoma sherlocki",1,1,1,1,1
"58","Triatoma sordida",16,14,15,13,4
"59","Triatoma tibiamaculata",1,1,1,1,1
"60","Triatoma venosa",10,10,10,9,2
"61","Triatoma vitticeps",12,11,11,9,2
